name	type1	type2	number
Bulbasaur	Grass	Poison	1
Ivysaur	Grass	Poison	2
Venusaur	Grass	Poison	3
Charmander	Fire	None	4
Charmeleon	Fire	None	5
Charizard	Fire	Flying	6
Squirtle	Water	None	7
Wartortle	Water	None	8
Blastoise	Water	None	9
Caterpie	Bug	None	10
Metapod	Bug	None	11
Butterfree	Bug	Flying	12
Weedle	Bug	Poison	13
Kakuna	Bug	Poison	14
Beedrill	Bug	Poison	15
Pidgey	Normal	Flying	16
Pidgeotto	Normal	Flying	17
Pidgeot	Normal	Flying	18
Rattata	Normal	None	19
Raticate	Normal	None	20
Spearow	Normal	Flying	21
Fearow	Normal	Flying	22
Ekans	Poison	None	23
Arbok	Poison	None	24
Pikachu	Electric	None	25
Raichu	Electric	None	26
Sandshrew	Ground	None	27
Sandslash	Ground	None	28
Nidoran	Poison	None	29
Nidorina	Poison	None	30
Nidoqueen	Poison	Ground	31
Nidoran	Poison	None	32
Nidorino	Poison	None	33
Nidoking	Poison	Ground	34
Clefairy	Fairy	None	35
Clefable	Fairy	None	36
Vulpix	Fire	None	37
Ninetales	Fire	None	38
Jigglypuff	Normal	Fairy	39
Wigglytuff	Normal	Fairy	40
Zubat	Poison	Flying	41
Golbat	Poison	Flying	42
Oddish	Grass	Poison	43
Gloom	Grass	Poison	44
Vileplume	Grass	Poison	45
Paras	Bug	Grass	46
Parasect	Bug	Grass	47
Venonat	Bug	Poison	48
Venomoth	Bug	Poison	49
Diglett	Ground	None	50
Dugtrio	Ground	None	51
Meowth	Normal	None	52
Persian	Normal	None	53
Psyduck	Water	None	54
Golduck	Water	None	55
Mankey	Fighting	None	56
Primeape	Fighting	None	57
Growlithe	Fire	None	58
Arcanine	Fire	None	59
Poliwag	Water	None	60
Poliwhirl	Water	None	61
Poliwrath	Water	Fighting	62
Abra	Psychic	None	63
Kadabra	Psychic	None	64
Alakazam	Psychic	None	65
Machop	Fighting	None	66
Machoke	Fighting	None	67
Machamp	Fighting	None	68
Bellsprout	Grass	Poison	69
Weepinbell	Grass	Poison	70
Victreebel	Grass	Poison	71
Tentacool	Water	Poison	72
Tentacruel	Water	Poison	73
Geodude	Rock	Ground	74
Graveler	Rock	Ground	75
Golem	Rock	Ground	76
Ponyta	Fire	None	77
Rapidash	Fire	None	78
Slowpoke	Water	Psychic	79
Slowbro	Water	Psychic	80
Magnemite	Electric	Steel	81
Magneton	Electric	Steel	82
Farfetch'd	Normal	Flying	83
Doduo	Normal	Flying	84
Dodrio	Normal	Flying	85
Seel	Water	None	86
Dewgong	Water	Ice	87
Grimer	Poison	None	88
Muk	Poison	None	89
Shellder	Water	None	90
Cloyster	Water	Ice	91
Gastly	Ghost	Poison	92
Haunter	Ghost	Poison	93
Gengar	Ghost	Poison	94
Onix	Rock	Ground	95
Drowzee	Psychic	None	96
Hypno	Psychic	None	97
Krabby	Water	None	98
Kingler	Water	None	99
Voltorb	Electric	None	100
Electrode	Electric	None	101
Exeggcute	Grass	Psychic	102
Exeggutor	Grass	Psychic	103
Cubone	Ground	None	104
Marowak	Ground	None	105
Hitmonlee	Fighting	None	106
Hitmonchan	Fighting	None	107
Lickitung	Normal	None	108
Koffing	Poison	None	109
Weezing	Poison	None	110
Rhyhorn	Ground	Rock	111
Rhydon	Ground	Rock	112
Chansey	Normal	None	113
Tangela	Grass	None	114
Kangaskhan	Normal	None	115
Horsea	Water	None	116
Seadra	Water	None	117
Goldeen	Water	None	118
Seaking	Water	None	119
Staryu	Water	None	120
Starmie	Water	Psychic	121
Mr. Mime	Psychic	Fairy	122
Scyther	Bug	Flying	123
Jynx	Ice	Psychic	124
Electabuzz	Electric	None	125
Magmar	Fire	None	126
Pinsir	Bug	None	127
Tauros	Normal	None	128
Magikarp	Water	None	129
Gyarados	Water	Flying	130
Lapras	Water	Ice	131
Ditto	Normal	None	132
Eevee	Normal	None	133
Vaporeon	Water	None	134
Jolteon	Electric	None	135
Flareon	Fire	None	136
Porygon	Normal	None	137
Omanyte	Rock	Water	138
Omastar	Rock	Water	139
Kabuto	Rock	Water	140
Kabutops	Rock	Water	141
Aerodactyl	Rock	Flying	142
Snorlax	Normal	None	143
Articuno	Ice	Flying	144
Zapdos	Electric	Flying	145
Moltres	Fire	Flying	146
Dratini	Dragon	None	147
Dragonair	Dragon	None	148
Dragonite	Dragon	Flying	149
Mewtwo	Psychic	None	150
Mew	Psychic	None	151
