class	id	type	mark	chr	chr_cov	chr_covered_bp
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr1	0.0535016	13335301
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr2	0.0376604	9158997
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr3	0.037266	7379498
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr4	0.0247022	4721939
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr5	0.034128	6174283
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr6	0.0377437	6458510
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr7	0.0358658	5707628
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr8	0.0319077	4670143
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr9	0.04505	6361668
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr10	0.0497601	6744222
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr11	0.0591447	7984914
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr12	0.0459377	6148854
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr13	0.0241375	2779917
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr14	0.0413627	4440268
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr15	0.0438813	4499210
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr16	0.0550423	4973332
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr17	0.093591	7599137
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr18	0.0297037	2319185
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr19	0.103742	6134179
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr20	0.0610457	3847436
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr21	0.033683	1621161
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chr22	0.0645829	3313399
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chrX	0.0151726	2355864
BRAIN	E071	Brain Hippocampus Middle	H3K27ac	chrY	0.000892872	53013
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr1	0.0224673	5599976
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr2	0.0189685	4613118
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr3	0.0112789	2233474
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr4	0.0112347	2147569
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr5	0.0164729	2980208
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr6	0.0200257	3426706
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr7	0.0195193	3106275
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr8	0.0212799	3114619
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr9	0.0160484	2266251
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr10	0.0283013	3835812
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr11	0.0241846	3265077
