SeqID	Len
uc009gmc.1	4900
uc008mue.1	459
uc007hzr.1	4578
uc007gtm.1	1257
uc007axo.1	2311
uc007wps.1	2694
uc007gqc.1	30
uc009smc.1	1530
uc009glk.1	3033
uc009ujy.1	1916
uc007snl.1	35
uc007saw.1	443
uc007bdk.2	1578
uc008wfh.1	2347
uc008elh.1	781
uc009ctf.1	3171
uc009bdm.1	1254
uc009umm.1	8982
uc009nap.2	1682
uc007mxp.1	2039
uc007shs.1	4592
uc011xhi.1	400
uc009gnx.1	1239
uc007yxh.1	1792
uc008jvv.2	8667
uc008agu.2	681
uc009nuy.1	654
uc008shv.2	1525
uc009lcz.2	3469
uc008jgr.1	2589
uc008vtm.1	2731
uc007fht.1	30
uc011xds.1	3355
uc007whn.1	2877
uc007dlf.1	6797
uc007kpj.1	3008
uc012hna.1	4766
uc012dwh.1	4062
uc007fdp.2	4043
uc007ftc.1	554
uc007ndd.1	1226
uc007lal.1	2093
uc007ysx.1	1612
uc012exh.1	903
uc009lbi.2	486
uc007jmp.1	422
uc008xwq.1	4837
uc007lly.1	982
uc009sbf.1	2077
uc007aoc.1	2318
uc007hxr.2	4025
uc007bol.1	648
uc009dgb.1	1702
uc008ytm.1	1050
uc011xhb.1	2006
uc008ihg.1	3202
uc009sia.1	30
uc007xpx.1	3030
uc007hti.2	3171
uc011zrn.1	148
uc008guf.1	3199
uc009iwt.1	2912
uc007rxv.2	1767
uc012dfq.1	4312
uc008vpl.1	2381
uc007ixx.2	6281
uc008szp.1	1120
uc007znp.1	6481
uc008cbh.1	4520
uc007kyc.1	6916
uc009fvy.1	2470
uc007qqy.2	2090
uc007jzl.2	11150
uc009fzp.2	1807
uc007prv.2	2213
uc008zja.1	4156
uc007jxd.1	959
uc007pgn.1	1888
uc009ldc.2	1536
uc008cad.1	748
uc007qua.2	3599
uc008tqo.1	55
uc007zed.1	2022
uc008imu.1	1291
uc009myc.1	1528
uc012dhm.1	1374
uc008svo.1	1802
uc008lus.1	2767
uc012fzf.1	5181
uc009ayd.1	492
uc007igy.1	7002
uc008img.1	916
uc009utj.1	4450
uc009doj.1	2150
uc008ccr.1	1612
uc007wbj.2	6128
uc007cbq.2	458
uc008ylb.2	4188
uc007sdt.2	610
uc008dim.1	29
uc007zgz.1	4667
uc007wle.2	4239
uc009kfm.1	2329
uc007icw.1	4810
uc007wtj.1	3382
uc007hus.2	1907
uc012gxd.1	610
uc007yhq.2	5766
uc008jbs.1	1721
uc012acn.1	4872
uc009tjk.1	2899
uc009tip.1	3863
uc008gxg.2	12512
uc007lqg.2	2348
uc007ovx.1	2009
uc009kca.1	443
uc007pkw.2	5102
uc007osi.2	3061
uc009qvc.1	4901
uc009dnq.1	1367
uc011yov.1	3102
uc008iwp.1	4580
uc012bqh.1	83
uc012chj.1	7979
uc012hje.1	75
uc009lfw.1	2295
uc008diz.1	29
uc009lrq.1	1163
uc009fto.1	995
uc008dia.1	30
uc007izy.1	4828
uc008ebm.1	3462
uc008gss.1	673
uc007iah.1	729
uc008gig.1	2440
uc007zea.2	1006
uc007hvy.1	2289
uc009pfx.1	1390
uc009ouk.2	4383
uc009odq.1	672
uc008wis.1	2932
uc012cpk.1	507
uc007phq.1	4250
uc007jbt.1	933
uc008axv.1	2515
uc007wnx.1	2227
uc009sqk.1	2265
uc008gmg.2	6301
uc007lje.1	879
uc009rgo.1	3165
uc009ric.2	2755
uc012gty.1	2679
uc007pnr.1	2915
uc007vhn.1	866
uc007qvs.1	1390
uc008qvl.1	1432
uc008mgd.2	4334
uc012feu.1	3370
uc007vgd.1	2823
uc011yue.1	79
uc012htj.1	27
uc009sfx.1	2221
uc012gcz.1	2557
uc008ncr.1	120
uc007zvp.1	748
uc007pmm.1	2347
uc009nrc.2	5888
uc012cqf.1	2201
uc009qhw.1	32
uc007rha.2	3720
uc007pdw.1	2480
uc008euf.1	1629
uc009bro.1	3790
uc008sri.1	1199
uc008tvv.1	1758
uc009sav.2	3790
uc008icf.2	2720
uc007okb.1	5040
uc008eph.2	5254
uc008vjk.1	2085
uc009pzf.2	2802
uc009krs.1	4485
uc008yfn.1	847
uc007ltv.1	3774
uc008kdn.1	583
uc009pin.1	2532
uc009oqo.1	696
uc008aaa.2	4237
uc007oxe.2	1607
uc008rtb.2	2580
uc008mcn.1	1771
uc008ivp.2	1389
uc008zax.1	29
uc012dui.1	5505
uc007lwr.1	5775
uc009kmu.1	1158
uc009bqb.2	3760
uc008avc.1	2261
uc007ykg.1	2129
uc012fcc.1	924
uc008fen.2	7785
uc012akl.1	1787
uc008bao.1	1057
uc008xwr.1	3367
uc007kdu.2	6729
uc008xds.1	1508
uc007ioh.1	1243
uc011ytj.1	99
uc007lsy.2	3345
uc007mtu.1	1720
uc008bdz.1	1761
uc012gnm.1	5458
uc007cve.2	264
uc007slb.1	268
uc009rjj.2	2699
uc007wbr.1	2114
uc009fug.1	1876
uc008pvc.2	3462
uc008ggf.2	2555
uc011xob.1	81
uc007hqn.1	942
uc011zay.1	1147
uc009ehm.2	1083
uc009umu.2	4223
uc012bgh.1	1708
uc011yfk.1	4211
uc009jdz.1	2030
uc007wli.1	1184
uc007rdx.2	4151
uc008jgh.2	2106
uc008gpa.1	386
uc008zzn.1	2565
uc007bsn.2	1371
uc008zvv.1	3613
uc008sjj.1	1751
uc008zoc.1	942
uc007hnd.1	1639
uc009eth.1	551
uc008mga.1	2260
uc009pli.1	1451
uc011wql.1	476
uc009bko.2	2933
uc008zxj.2	596
uc012gys.1	2014
uc007tiz.1	1843
uc011wvz.1	1785
uc009avs.2	1719
uc012gpb.1	4873
uc008mmd.2	3195
uc007goy.1	30
uc009ghh.2	2419
uc007uyr.2	2852
uc008uwj.1	2241
uc007ynx.1	1256
uc007xhp.1	718
uc007vxu.2	2745
uc008zad.1	1309
uc008qfx.1	941
uc008xql.1	1907
uc009jgr.2	2028
uc012cxg.1	2471
uc007fkl.1	2433
uc012dbu.1	1431
uc008ras.1	604
uc007ytz.1	3326
uc009gyv.2	2221
uc007xex.1	760
uc009ewv.1	2312
uc008lmd.1	4302
uc007luc.1	2983
uc007vyt.1	2382
uc007smv.1	57
uc007hvj.1	279
uc012fvj.1	860
uc009dzh.1	29
uc008rja.1	1291
uc008jpb.1	2854
uc007uqi.1	1327
uc012fop.1	2948
uc008jbc.1	3434
uc012afb.1	7338
uc007kob.1	3856
uc009dol.1	2563
uc008kgt.1	2494
uc007bna.1	1890
uc009awi.1	3286
uc007zkq.2	8508
uc011xnt.1	27
uc009nmi.2	5168
uc008xzx.1	3534
uc007xvr.2	1229
uc009mku.1	3667
uc008pee.2	3743
uc007snh.1	32
uc008yod.1	2069
uc009mhi.2	2187
uc011yqr.1	1162
uc009ooz.2	3816
uc009cik.1	1502
uc008mgj.1	2926
uc008esh.2	3369
uc007frr.1	41
uc009keo.1	2988
uc009grh.1	1991
uc008bjo.1	35
uc007kzt.1	3334
uc009rfo.2	3471
uc009gde.1	3851
uc009phr.1	4270
uc007uqq.2	1503
uc007pxw.1	1682
uc012cvr.1	2172
uc007pnv.1	736
uc008yic.1	806
uc009tlh.1	1636
uc007yav.1	421
uc008qxw.1	1121
uc007umc.1	939
uc009kvy.1	805
uc008pqr.1	1978
uc007iny.1	6388
uc012ezk.1	3145
uc008eql.1	4537
uc008cdk.2	5427
uc008anx.2	1067
uc009ixt.1	966
uc008otu.1	555
uc008rwv.1	1025
uc009gmh.1	3112
uc008ric.1	2381
uc007arh.2	831
uc007pzw.2	1599
uc008nvh.1	755
uc008zrt.2	1249
uc011wyv.1	2271
uc007xix.1	4023
uc008fhg.1	39
uc007pyi.1	2224
uc007uqn.1	3714
uc007mtn.2	3384
uc007hck.1	2786
uc007aio.1	3429
uc008wer.1	2980
uc007pzo.2	2366
uc008skm.1	30
uc012eeq.1	913
uc008bod.1	35
uc007fot.1	5420
uc009jqh.1	6891
uc012aaz.1	1375
uc008yah.1	3057
uc009tgk.2	4920
uc007xne.1	2814
uc012hcq.1	3304
uc009iuc.1	957
uc007dji.1	2250
uc007bzq.2	2107
uc007bgs.1	8389
uc009osq.2	4741
uc007gsn.1	3428
uc008wsr.1	1599
uc008tvi.1	2838
uc009dab.1	272
uc007gyy.1	5887
uc008nvl.2	824
uc007lgz.1	3474
uc008imw.1	2397
uc008hls.1	6144
uc009tko.1	1821
uc008pla.1	1924
uc007tzm.1	2343
uc007kvx.2	2087
uc009bdo.2	9067
uc008cyr.1	2802
uc009ovu.1	930
uc008gdb.2	1545
uc011wtj.1	3646
uc008jrw.2	3172
uc008yto.1	947
uc007zik.1	3232
uc007xnn.1	732
uc007vym.1	2127
uc007zfj.2	2300
uc008yst.1	715
uc007cvb.2	3635
uc009dkr.1	3335
uc012hrw.1	336
uc009lla.1	6408
uc012bhx.1	2716
uc009uwv.1	4063
uc007hfi.1	4754
uc009rva.1	1455
uc009qnl.1	2429
uc009bwl.1	1839
uc007zce.2	1096
uc007dox.1	3977
uc012css.1	5681
uc007iyp.2	2519
uc007bqd.1	3292
uc008qeq.1	706
uc007dbi.1	1748
uc007gyi.1	2576
uc011xgd.1	2883
uc012flg.1	1691
uc009gch.1	3033
uc008ybe.1	1919
uc012cps.1	961
